srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,tat_in_days
2840600,C,6,160059,233,233,131,B,ADLD,134109,4/1/2017,4/1/2017,2/5/2018,4549,2/12/2018,14
2839018,AN,22,400104,233,233,131,B,ADLD,431001,1/17/2018,11/23/2017,2/4/2018,4581,2/28/2018,12
2957610,AN,21,110015,233,233,131,A,ADLD,122003,7/10/2017,6/7/2017,3/8/2018,4580,3/12/2018,8
2955362,AJ,6,160059,233,233,228,B,ADLD,140604,2/4/2018,8/9/2017,3/8/2018,4437,3/11/2018,10
2971077,AJ,2,110018,308,233,228,A,ADLD,122009,7/18/2017,5/25/2017,3/12/2018,4388,3/15/2018,12
2978320,C,4,600024,233,233,131,A,ADLD,600117,8/17/2017,8/13/2017,3/14/2018,4483,3/17/2018,14
2991956,AJ,23,400001,233,233,131,A,ADLD,411037,8/29/2017,8/16/2017,3/17/2018,4398,3/19/2018,11
2851603,AD,6,160059,233,233,228,C,ADLD,145024,1/12/2018,1/10/2018,2/8/2018,4443,3/17/2018,17
3037574,AJ,8,700064,233,233,228,A,ADLD,700094,2/10/2018,12/23/2017,3/30/2018,4499,4/3/2018,11
3025445,AN,21,110015,233,233,131,B,ADLD,248001,4/15/2017,2/3/2017,3/27/2018,4580,3/30/2018,12
3044480,C,2,110018,233,233,228,A,ADLD,121009,2/18/2018,10/31/2017,4/1/2018,4091,4/8/2018,12
3038309,AJ,8,700064,233,233,131,A,ADLD,700156,4/18/2017,4/18/2017,3/30/2018,4499,4/2/2018,11
3001491,J,2,110018,233,233,131,A,ADLD,711102,11/9/2017,8/30/2017,3/20/2018,5138,4/10/2018,18
2925036,AN,22,400104,233,233,131,C,ADLD,492001,4/17/2017,4/11/2017,2/28/2018,4581,3/2/2018,13
2999990,AN,21,110015,233,233,131,A,ADLD,121001,12/16/2017,5/30/2017,3/20/2018,4580,3/22/2018,10
2962501,AJ,2,110018,233,233,131,A,ADLD,110064,9/13/2015,9/10/2015,3/10/2018,4388,3/13/2018,13
3009593,C,9,411016,233,233,131,B,ADLD,412207,11/21/2017,11/19/2017,3/23/2018,4022,3/26/2018,16
2902819,K,1,400059,233,233,228,A,ADLD,560043,12/27/2017,5/7/2017,2/23/2018,4008,2/24/2018,21
2896384,AJ,2,110018,233,233,228,A,ADLD,110045,1/25/2018,11/13/2016,2/22/2018,4388,3/17/2018,13
2873178,AD,4,600024,233,233,228,B,ADLD,637001,5/13/2017,12/7/2016,2/15/2018,4488,2/17/2018,8
3052396,AE,2,110018,233,233,228,A,ADLD,110085,12/13/2017,12/11/2017,4/4/2018,4093,4/8/2018,9
2830743,AN,8,700064,233,233,131,A,ADLD,700135,9/5/2017,9/4/2017,2/2/2018,4508,2/9/2018,11
2841072,AJ,12,302006,233,233,228,A,ADLD,302018,6/20/2017,6/10/2016,2/5/2018,4407,2/9/2018,11
2863754,AN,2,110018,233,233,131,A,ADLD,110053,5/6/2017,5/5/2017,2/12/2018,4147,2/16/2018,12
2879120,AN,21,110015,233,233,131,B,ADLD,180001,7/27/2016,6/21/2017,2/16/2018,4580,2/21/2018,11
2904301,AN,21,110015,233,233,131,B,ADLD,180001,9/23/2017,2/9/2017,2/24/2018,4580,2/28/2018,10
2930592,AN,3,560011,233,233,131,A,ADLD,560045,8/11/2017,8/10/2017,3/2/2018,4467,3/8/2018,7
2926578,AN,22,400104,233,233,131,A,ADLD,400604,10/24/2017,10/5/2017,2/28/2018,4581,3/8/2018,10
2934546,C,1,400059,233,233,131,B,ADLD,403521,6/14/2017,5/30/2017,3/3/2018,4545,3/7/2018,16
2938705,C,9,411016,233,233,228,A,ADLD,411035,9/27/2017,9/3/2017,3/4/2018,4548,3/10/2018,13
2991480,AD,1,400059,308,233,131,A,ADLD,400709,4/6/2017,2/5/2017,3/17/2018,4011,3/20/2018,13
2969652,AD,2,110018,233,233,131,A,ADLD,201304,5/29/2017,4/12/2017,3/11/2018,4148,3/20/2018,12
3001366,AM,2,110018,233,233,131,A,ADLD,110054,9/11/2017,3/26/2017,3/20/2018,4092,4/1/2018,8
3041537,J,2,110018,233,233,131,A,ADLD,400077,1/17/2017,1/17/2017,3/31/2018,5138,4/3/2018,16
3045264,C,3,560011,233,233,228,A,ADLD,560103,5/26/2017,3/27/2017,4/2/2018,4469,4/8/2018,12
3038207,AJ,27,110034,233,233,228,A,ADLD,110086,2/18/2018,7/16/2017,3/30/2018,4388,4/7/2018,11
2898396,AN,2,110018,233,245,131,A,ADLD,110082,12/31/2016,12/30/2016,2/22/2018,4147,2/26/2018,12
2896592,AN,4,600024,233,233,131,C,ADLD,603001,11/1/2017,6/6/2017,2/22/2018,4490,2/26/2018,12
2840624,AN,22,400104,233,233,131,A,ADLD,380008,10/16/2017,10/14/2017,2/5/2018,4581,2/13/2018,11
2901202,C,7,500004,233,233,131,A,ADLD,500015,2/2/2018,4/26/2017,2/23/2018,4477,2/27/2018,18
2860466,S,7,500004,233,233,228,D,ADLD,506011,11/2/2017,11/11/2016,2/10/2018,4479,2/12/2018,12
2876981,AN,4,600024,233,233,131,A,ADLD,600069,8/7/2017,8/5/2017,2/16/2018,4490,2/23/2018,8
2854395,AN,7,500004,233,233,131,A,ADLD,500054,7/19/2017,7/23/2016,2/9/2018,4403,2/12/2018,12
2888858,AJ,8,700064,233,233,131,A,ADLD,700072,5/27/2017,5/27/2017,2/20/2018,4499,2/28/2018,16
2947988,AI,8,700064,233,233,131,A,ADLD,700046,12/18/2017,12/18/2017,3/6/2018,4499,3/8/2018,12
3041167,C,6,160059,233,233,228,B,ADLD,160022,5/16/2017,1/14/2016,3/31/2018,4549,4/11/2018,18
2943890,J,2,110018,233,233,131,A,ADLD,600091,8/15/2017,8/10/2017,3/6/2018,4154,3/10/2018,14
3003626,AN,21,110015,233,233,131,B,ADLD,342001,4/12/2017,4/8/2017,3/21/2018,4580,3/24/2018,14
3041208,AN,26,560066,233,233,228,B,ADLD,570001,4/26/2017,4/17/2017,3/31/2018,5001,4/3/2018,10
3058048,AI,27,110034,233,233,131,A,ADLD,302004,1/13/2018,1/13/2018,4/5/2018,4388,4/7/2018,12
2948845,AN,8,700064,233,233,131,A,ADLD,700007,5/15/2017,5/13/2017,3/7/2018,4508,3/13/2018,12
2870154,AN,22,400104,233,233,131,A,ADLD,400706,8/14/2017,8/10/2017,2/14/2018,4581,2/18/2018,15
2994242,AN,21,110015,233,233,131,A,ADLD,201308,3/27/2017,3/24/2017,3/18/2018,4580,3/22/2018,11
3071635,AN,21,110015,233,233,131,A,ADLD,122001,8/18/2017,8/14/2017,4/10/2018,4580,4/16/2018,9
2831651,AJ,2,110018,233,233,131,A,ADLD,201307,9/1/2017,9/1/2017,2/2/2018,4388,2/14/2018,16
2859616,C,7,500004,233,233,131,A,ADLD,500029,10/10/2017,9/5/2017,2/10/2018,4477,2/17/2018,12
2867373,C,6,160059,233,233,131,B,ADLD,140604,11/27/2017,11/22/2017,2/13/2018,4549,2/19/2018,14
2838796,C,2,110018,233,233,228,A,ADLD,110065,11/27/2017,10/8/2017,2/4/2018,4550,2/21/2018,9
2882287,AJ,8,700064,233,233,131,B,ADLD,700150,12/12/2017,12/9/2017,2/17/2018,4499,2/21/2018,14
2907771,Y,7,500004,233,233,131,B,ADLD,530007,1/31/2018,12/24/2017,2/26/2018,4403,2/28/2018,14
2896178,AI,12,302006,233,233,131,A,ADLD,302029,11/8/2017,11/7/2017,2/22/2018,4407,3/5/2018,9
2919014,AN,3,560011,233,233,131,C,ADLD,583212,6/19/2017,5/23/2017,2/27/2018,4467,3/3/2018,12
2959784,AJ,8,700064,233,233,228,C,ADLD,751002,2/13/2018,5/15/2017,3/9/2018,4499,3/15/2018,15
2997085,AJ,2,110018,233,233,228,A,ADLD,110059,6/19/2017,5/12/2017,3/19/2018,4388,3/22/2018,11
2941835,C,3,560011,233,233,131,A,ADLD,560049,11/3/2017,11/3/2017,3/5/2018,4461,3/12/2018,14
3073508,AN,22,400104,233,233,131,A,ADLD,380058,7/27/2017,7/14/2017,4/10/2018,4581,4/13/2018,11
3060558,AN,26,560066,233,233,131,A,ADLD,560100,4/27/2017,4/23/2017,4/6/2018,5001,4/18/2018,11
2979791,AN,21,110015,233,245,131,A,ADLD,110005,5/23/2016,5/20/2016,3/14/2018,4580,3/19/2018,11
3039822,AN,21,110015,233,245,131,A,ADLD,110006,4/17/2017,2/10/2018,3/30/2018,4580,4/15/2018,9
2837307,AJ,8,700064,233,233,131,A,ADLD,700031,12/5/2017,12/5/2017,2/3/2018,4499,2/6/2018,12
2860536,AN,22,400104,233,233,131,A,ADLD,382470,9/7/2017,9/6/2017,2/10/2018,4581,2/13/2018,22
2924688,AI,8,700064,233,233,131,A,ADLD,700010,1/9/2018,1/9/2018,2/28/2018,4499,3/3/2018,12
2969866,Y,9,411016,233,233,131,B,ADLD,431122,8/22/2017,8/9/2017,3/11/2018,4581,3/16/2018,16
2962720,AN,22,400104,233,233,131,A,ADLD,380028,8/16/2017,8/12/2016,3/10/2018,4581,3/14/2018,10
2972046,C,2,110018,233,233,131,A,ADLD,201002,12/12/2017,12/12/2017,3/12/2018,4094,3/15/2018,13
2871776,AN,3,560011,233,233,131,A,ADLD,560008,10/6/2017,9/28/2017,2/14/2018,4467,3/7/2018,10
2987327,AJ,23,400001,233,233,131,A,ADLD,380016,4/5/2017,4/5/2017,3/16/2018,4398,3/20/2018,10
3032340,C,8,700064,233,233,131,A,ADLD,700078,5/28/2017,5/24/2017,3/28/2018,4511,3/31/2018,13
2819714,AJ,2,110018,233,233,228,A,ADLD,110085,1/14/2018,12/23/2016,1/30/2018,4388,2/1/2018,9
3007172,AN,22,400104,233,233,131,B,ADLD,390007,12/29/2017,12/24/2017,3/22/2018,4581,3/24/2018,12
3003291,C,2,110018,233,233,228,A,ADLD,122001,2/7/2018,9/19/2016,3/21/2018,4550,3/27/2018,11
3068788,AN,21,110015,233,233,131,A,ADLD,122001,6/23/2017,6/22/2017,4/9/2018,4580,4/14/2018,14
3034684,AJ,23,400001,233,245,228,B,ADLD,390007,9/13/2017,4/10/2017,3/29/2018,4398,4/4/2018,12
2822463,AN,21,110015,233,233,131,A,ADLD,110044,12/26/2017,12/20/2017,1/30/2018,4580,2/3/2018,12
2823704,AN,3,560011,233,233,131,A,ADLD,560103,11/2/2016,11/2/2016,1/31/2018,4467,2/5/2018,9
2846752,AN,21,110015,233,233,131,A,ADLD,110041,12/27/2017,12/17/2017,2/6/2018,4580,2/12/2018,13
2864958,C,2,110018,233,233,131,A,ADLD,122007,2/16/2017,2/13/2017,2/12/2018,4091,2/15/2018,15
2835214,AJ,12,302006,233,233,131,A,ADLD,302013,8/10/2017,6/23/2017,2/3/2018,4407,2/16/2018,9
2892280,AJ,1,400059,233,233,131,A,ADLD,400080,5/2/2017,5/2/2017,2/21/2018,4398,2/23/2018,10
2930891,G,1,400059,233,233,131,A,ADLD,700102,5/13/2017,4/26/2017,3/2/2018,4504,3/11/2018,15
2956899,H,1,400059,233,233,228,B,ADLD,422009,2/14/2018,2/14/2018,3/8/2018,4011,3/15/2018,17
3024411,AJ,27,110034,308,233,228,A,ADLD,110029,1/16/2018,7/18/2017,3/27/2018,4388,4/4/2018,11
3021253,C,12,302006,233,233,131,A,ADLD,302029,4/17/2017,11/18/2016,3/26/2018,4453,3/28/2018,15
2992660,C,9,411016,233,233,228,C,ADLD,490020,3/1/2018,7/6/2017,3/17/2018,4548,3/31/2018,22
3041002,AJ,27,110034,233,233,131,A,ADLD,110031,12/11/2017,1/8/2017,3/31/2018,4388,4/12/2018,9
3090563,AJ,25,560037,233,233,131,A,ADLD,560049,10/29/2016,10/29/2016,4/17/2018,4460,4/19/2018,9
2967344,C,2,110018,233,245,131,A,ADLD,110055,2/18/2018,3/25/2017,3/10/2018,4091,3/22/2018,17
3034299,C,5,380009,233,245,228,B,ADLD,362001,6/23/2017,12/12/2017,3/29/2018,4546,4/3/2018,12
3052955,AJ,6,160059,233,233,131,B,ADLD,140301,5/4/2017,5/4/2017,4/4/2018,4437,4/11/2018,9
2939183,H,1,400059,233,233,131,A,ADLD,711102,1/6/2018,5/7/2017,3/4/2018,4011,3/6/2018,19
2995846,AN,22,400104,233,233,131,A,ADLD,411017,10/16/2017,10/16/2017,3/19/2018,4581,3/24/2018,12
2883901,AJ,3,560011,233,233,228,A,ADLD,560011,2/2/2018,1/28/2018,2/18/2018,4460,3/8/2018,10
3084400,C,3,560011,233,233,131,A,ADLD,560011,8/14/2017,8/14/2017,4/14/2018,4461,4/19/2018,12
2941832,AJ,6,160059,233,233,131,B,ADLD,160022,5/2/2017,5/2/2017,3/5/2018,4437,3/14/2018,10
2831636,AI,12,302006,233,233,131,B,ADLD,342001,11/9/2017,11/8/2017,2/2/2018,4407,2/9/2018,16
3032246,AJ,6,160059,233,233,228,C,ADLD,143001,2/17/2018,2/16/2018,3/28/2018,4437,4/2/2018,10
2855751,AN,21,110015,233,233,228,B,ADLD,121102,1/14/2018,8/12/2017,2/9/2018,4580,2/11/2018,10
3015701,AJ,27,110034,233,233,228,A,ADLD,110085,2/26/2018,2/11/2018,3/24/2018,4388,4/10/2018,11
2843578,C,3,560011,233,233,131,B,ADLD,590010,12/8/2017,12/3/2017,2/6/2018,4461,2/9/2018,16
2884167,AN,21,110015,233,233,131,C,ADLD,142031,11/29/2017,3/23/2017,2/19/2018,4580,2/22/2018,15
2854409,AE,12,302006,233,233,131,B,ADLD,305001,10/16/2017,10/15/2017,2/9/2018,4456,2/20/2018,15
2959793,AN,21,110015,233,233,131,A,ADLD,110059,12/5/2016,12/1/2016,3/9/2018,4580,3/12/2018,8
2970646,AJ,2,110018,233,233,228,A,ADLD,110058,2/4/2018,12/14/2017,3/12/2018,4388,3/14/2018,11
2970771,AN,7,500004,233,233,131,C,ADLD,504001,7/30/2017,7/28/2017,3/12/2018,4403,3/22/2018,13
2996135,AN,8,700064,233,233,131,A,ADLD,700137,1/5/2018,1/3/2018,3/19/2018,4508,3/22/2018,11
3018154,AN,7,500004,233,233,228,A,ADLD,501301,2/23/2018,7/8/2017,3/25/2018,4403,4/16/2018,8
3075736,AN,8,700064,233,233,131,A,ADLD,700019,4/19/2017,4/19/2017,4/11/2018,4508,4/18/2018,9
2938526,AJ,2,110018,233,233,228,A,ADLD,110017,10/25/2017,5/19/2017,3/4/2018,4388,3/7/2018,10
2953739,AN,8,700064,201,233,131,D,ADLD,723143,6/9/2017,6/7/2017,3/8/2018,4508,3/10/2018,13
3044963,AN,21,110015,233,233,131,A,ADLD,226012,7/19/2017,7/3/2017,4/1/2018,4580,4/4/2018,9
2873848,AN,22,400104,233,245,131,B,ADLD,395008,3/16/2017,3/15/2017,2/15/2018,4581,2/22/2018,12
2896115,AN,21,110015,233,233,131,A,ADLD,121001,4/14/2017,4/13/2017,2/22/2018,4580,3/7/2018,8
2949709,AN,22,400104,233,233,131,B,ADLD,390001,6/14/2017,6/10/2017,3/7/2018,4581,3/10/2018,13
2884216,AJ,6,160059,233,233,228,C,ADLD,144702,2/3/2018,2/2/2018,2/19/2018,4437,2/23/2018,12
2981165,AJ,25,560037,233,233,228,A,ADLD,560011,2/2/2018,5/2/2017,3/14/2018,4460,3/19/2018,10
2826941,Y,22,400104,233,233,228,C,EW,474003,2/25/2017,1/17/2017,2/1/2018,4581,2/7/2018,12
2868550,AJ,8,700064,233,233,228,A,ADLD,700038,8/2/2017,5/15/2016,2/14/2018,4499,2/21/2018,10
2823325,AJ,17,800001,233,233,131,B,ADLD,842002,1/28/2017,1/18/2017,1/31/2018,4370,2/3/2018,15
2840256,AN,21,110015,233,233,131,B,ADLD,180012,5/23/2017,5/17/2017,2/5/2018,4580,2/16/2018,12
3030205,AN,21,110015,308,233,228,A,ADLD,122001,2/13/2018,1/28/2017,3/28/2018,4580,3/30/2018,11
2849401,C,2,110018,233,233,131,A,ADLD,110035,12/20/2017,12/9/2017,2/7/2018,4094,2/9/2018,15
2876255,AA,2,110018,233,233,228,A,ADLD,201305,1/30/2018,2/8/2017,2/16/2018,4150,2/19/2018,11
2873086,AN,2,110018,233,233,131,A,ADLD,110053,5/28/2016,5/1/2016,2/15/2018,4147,2/16/2018,12
2846773,AA,9,411016,233,233,131,B,ADLD,440018,10/23/2017,10/17/2017,2/6/2018,4027,2/21/2018,16
2863272,AF,7,500004,233,233,131,D,ADLD,523240,2/14/2017,2/9/2017,2/12/2018,4403,2/22/2018,11
2873700,AN,21,110015,308,233,131,A,ADLD,122003,6/2/2017,5/31/2017,2/15/2018,4580,2/22/2018,9
2956882,AN,21,110015,233,233,131,B,ADLD,131001,6/10/2017,3/9/2017,3/8/2018,4580,3/13/2018,11
2939739,AN,22,400104,233,233,131,A,ADLD,400088,1/11/2017,12/28/2016,3/5/2018,4581,3/10/2018,12
2899661,AN,22,400104,233,233,131,A,ADLD,400612,7/7/2017,7/5/2017,2/23/2018,4581,3/19/2018,15
3004595,AJ,25,560037,233,233,131,A,ADLD,600024,5/2/2017,5/2/2017,3/21/2018,4460,3/23/2018,9
3034006,C,12,302006,233,233,228,A,ADLD,302039,2/13/2018,12/6/2017,3/29/2018,4453,4/2/2018,12
3067240,AN,26,560066,308,233,228,A,ADLD,560052,3/22/2018,3/22/2018,4/9/2018,5001,4/10/2018,10
3070745,AN,21,110015,233,233,228,B,ADLD,180016,3/21/2018,6/2/2017,4/10/2018,4580,4/16/2018,10
3084404,AJ,8,700064,233,233,131,A,ADLD,700059,12/9/2017,12/7/2017,4/14/2018,4499,4/17/2018,13
3074043,AI,23,400001,233,233,131,A,ADLD,401107,11/8/2017,11/7/2017,4/11/2018,4398,4/17/2018,12
2890091,C,2,110018,233,245,228,A,ADLD,110029,1/27/2018,1/22/2017,2/20/2018,4094,2/23/2018,14
2902605,AJ,2,110018,233,245,131,A,ADLD,110031,1/19/2018,1/7/2018,2/23/2018,4388,3/7/2018,10
2843371,AN,22,400104,233,233,131,A,ADLD,400051,1/21/2018,1/14/2018,2/6/2018,4581,2/17/2018,9
3034141,AN,7,500004,233,233,131,B,ADLD,533101,5/5/2017,5/3/2017,3/29/2018,4403,4/2/2018,10
2830491,C,2,110018,233,233,131,A,ADLD,110027,12/1/2016,11/29/2016,2/2/2018,4550,2/5/2018,12
2981727,J,2,110018,233,233,131,B,ADLD,127031,1/2/2018,12/26/2017,3/15/2018,4154,3/18/2018,18
3030880,AN,7,500004,233,233,131,A,ADLD,500089,9/8/2017,9/7/2017,3/28/2018,4403,4/4/2018,10
3067593,Y,2,110018,308,245,131,A,ADLD,110015,1/13/2018,1/6/2018,4/9/2018,4147,4/13/2018,11
3080835,C,3,560011,233,245,228,A,ADLD,560085,4/1/2018,4/1/2018,4/13/2018,4461,4/16/2018,16
2861468,AI,2,110018,233,233,131,A,ADLD,110001,11/20/2017,11/20/2017,2/11/2018,4388,2/17/2018,12
2823684,AN,21,110015,233,233,131,C,ADLD,143521,12/7/2017,12/4/2017,1/31/2018,4580,2/2/2018,12
